--- Sheet: Summary  ---
,CONVERSIONS FOR PREPARING SCHEDULE OF MATERIALS,,,,,,,,
,,,stone, -   ,m3,,,
4,Grade 25-20,m3,1,,,,,
,,,sand, 0.71 ,m3,,,
,,,cement, 5.99 ,Bag,,,
,,,stone, 0.88 ,m3,,,
4,Grade 30-20,m3,251,,,,,
,,,sand, 176.58 ,m3,,,
,,,cement," 2,227.00 ",Bag,,,
,,,stone, 226.65 ,m3,,,
5,Grade 30-40,m3,8,,,,,
,,,sand, 5.71 ,m3,,,
,,,cement, 52.08 ,Bag,,,
,,,stone, 7.22 ,m3,,,
6,Grade 40-20,m3,0,,,,,
,,,sand, -   ,m3,,,
,,,cement, -   ,Bag,,,
,,,stone, -   ,m3,,,
7,Polythene sheeting,m2,75.43,,,m2,1580,
,,,m, 50.29 ,m,,Roll 1.5*20m, 52.67 
8,Mesh fabric reinforcement Ref S193,m2,75.43,,,,,
,,,sheets, 5.24 ,no.,,,
9,Hardcore,m3,275,,m3,,,
10,Sand blinding,m2,20,,m3,,,
,50mm blinding,,,,,,,
,,,m3, 1.00 ,m3,,,
11,Termite treatment,m2,1830.3,,,,,
,,,litres, 198.95 ,ltrs,,,
12,Half brick wall,m2,110,,Face brick wall,m2,40,
,,,commons," 6,352.50 ",no,, facings ," 2,226.00 "
,,,pit sand, 2.73 ,m3,, pit sand , 0.99 
,,,cement, 15.03 ,Bag,, cement , 5.46 
13,One brick wall,m2,110,,,,,
,,,commons," 12,705.00 ",no,,,
,,,pit sand, 6.92 ,m3,,,
,,,cement, 38.27 ,Bag,,,
14,Piers,m3,0,,,,,
,,,commons, -   ,no,,,
,,,pit sand, -   ,m3,,,
,,,cement, -   ,Bag,,,
15,Brick-on-edge,m2,0,,,,,
,,,bricks, -   ,no,,,
,,,pit sand, -   ,m3,,,
,,,cement, -   ,Bag,,,
16,Damp proof course for half brick wall,m,34.76,,16 a),m2,0,
,,,roll, 1.58 ,no.,, roll , -   
17,Damp proof course for one brick wall,,,,,,,
,,m,23.35,,17 a),m2, 5.00 ,
,,,roll, 1.06 ,no.,, roll , 1.09 
18,Ref C1 for half brick wall,m,0,,,,,
,,,roll, -   ,no.,,,
19,Ref C2 for one brick wall,m,22,,,,,
,,,roll, 1.10 ,no.,,,
20,Steel bar reinforcement,m3,94.5,,,,,
