--- Sheet: OUTPUT ---
,,,ESTIMATING DATA,,,,,
,,,GROUND WORKS,,,,,
A. SITE CLEARANCE,,,,,,,,
"1,Clear site of all vegetation",,,,,1 Lab,,20m2/day,
B. EXCAVATIONS,,,,,,,,
"1, Normal pickable ground",,,,,,,,
a) Trenches etc not exceeding 1m deep,,,,,1 Lab,,2m3/day,
    Ditto 1-2m deep,,,,,1 Lab,,1.5m3/day,
    Ditto 2-3m deep,,,,,1 Lab,,1m3/day,
b) Bases etc not exceeding 1m deep,,,,,1 Lab,,1.75m3/day,
    Ditto 1-2m deep,,,,,1 Lab,,1.20m3/day,
    Ditto 2-3m deep,,,,,1 Lab,,0.75m3/day,
c) Reduce levels n.e. 1m deep,,,,,1 Lab,,2.20m3/day,
"2, Hard pickable ground",,,,,,,,
"    As above, but +250%",,,,,1 Lab,, 0.40 ,
"3, Rock excavation",,,,,,,,
"    As above, but +1200%",,,,,1 Lab,,,
C. DISPOSALS,,,,,,,,
    ,,,,,,,,
a)  Backfilling to trenches and bases,,,,,1 Lab,,2.5m3/day,
b) Loose fill under floor,,,,,1 Lab,,3.0m3/day,
c) Ram fill under floors ,,,,,1 Lab,,2.0m3/day,
d) Compacting,,,,,1 Lab,,35m2/day,
e) Load for disposal,,,,,1 Lab,,1.5m3/day,
,,,BRICKWORK AND BLOCKWORK,,,,,
 NB,,,,,,,,
Adjustments must be made for high standard requirements,,,,,,,,
,,,,1m3 cment = 30bags,,,,
,,,PAINTING,,,,,
,Paint to ceiling,,,,,,50m2/day,
,Paint to walls,,,,,,60m2/day,
,Paint to frames,,,,,,50m2/day,
,Paint to timber,,,,,,45m2/day,
,Paint to small pipes,,,,,,25m/hr/coat,
,Paint to large pipes,,,,,,10m/hr/coat,
,"NB. Add 10% to labour figures for turps,brushes etc.",,,,,,,
,Paint covering capacities,,,,,,,
,All per 5 litres,,,,,,,
,PVA to boards,,,,5 Litres,,1 Litre,
,1st coat,,,,30m2,,6m2,
,2nd coat,,,,40m2,,8m2,
,3rd coat,,,,50m2,,10m2,
,PVA to plaster,,,,,,,
,1st coat,,,,40m2,,8m2,
,2nd & 3rd coat,,,,50m2,,10m2,
,PVA to blockwork:,,,,,,,
,1st coat,,,,40m2,,6m2,
,2nd coat,,,,35m2,,7m2,
,3rd coat,,,,45m2,,9m2,
,paint to 230 steel dr frame size 815x2032 =2.03m2,,,,,,,
,paint to 115 steel dr frame size 815x2032 =1.47m2,,,,,,,
,,,ESTIMATING DATA,,,,,
,,,PAINTING,,,,,
xs,Primer / Uct / Gloss ct etc,,,,5 Litres,,1 Litre,
,To steel work:,,,,,,,
     ,1st coat,,,,45m2,,9m2,
,Subsequent,,,,50m2,,10m2,
,To timber:,,,,,,,
,1st coat,,,,35m2,,7m2,
,2nd coat,,,,40m2,,8m2,
,Subsequent,,,,50m2,,10m2,
,,,REINFORCEMENT,,,,,
,DIAMETER,,ROUND,,PLAIN,,HIGH,
,,,MILD,,SQUARE,,YIELD ,
,,,,,TWIST,,DEFORMED,
,,,( R ),,( X ),,( Y ),
,6mm,,0.222,,0,,0.222,
,6.50mm,,0.26,,0.332,,0,
